lat,lon,neighborhood,rooms,bedrooms,bathrooms,surface_covered,ars_price,ars_m2
-34.594208200000004,-58.3958809,Barrio Norte,4,3,2,92,15600000,169565
-34.58775,-58.406649,Barrio Norte,2,1,1,40,8775000,219375
-34.6009428,-58.402443999999996,Barrio Norte,1,0,1,22,4355000,197954
-34.595468700000005,-58.3746152,Barrio Norte,4,3,3,282,68250000,242021
-34.5973304,-58.421612100000004,Barrio Norte,1,0,1,35,10400000,297142
-34.5969557,-58.4117824,Barrio Norte,3,2,1,49,10075000,205612
-34.58851729999999,-58.409024800000005,Barrio Norte,3,2,1,83,20800000,250602
-34.5936526,-58.40332629999999,Barrio Norte,3,2,2,82,14300000,174390
-34.588466499999996,-58.403237100000005,Barrio Norte,2,1,1,44,11180000,254090
-34.5874621,-58.4087465,Barrio Norte,4,3,2,115,31850000,276956
-34.604347,-58.390747,San Nicolás,1,0,1,36,5200000,144444
-34.5933706,-58.44223220000001,Villa Crespo,1,0,1,34,6435000,189264
-34.5933706,-58.44223220000001,Villa Crespo,1,0,1,35,6435000,183857
-34.59346420000001,-58.442120700000004,Villa Crespo,1,0,1,35,7085000,202428
-34.601881,-58.43188000000001,Villa Crespo,1,0,1,36,5395000,149861
-34.599694,-58.503606999999995,Villa Devoto,2,1,1,46,8710000,189347
-34.599179299999996,-58.513796299999996,Villa Devoto,4,3,3,122,27300000,223770
-34.6672968,-58.475311100000006,Villa Lugano,4,3,2,80,5980000,74750
-34.613388,-58.3613664,Puerto Madero,2,1,1,92,32500000,353260
-34.6161874,-58.361489,Puerto Madero,1,0,1,33,13000000,393939
-34.6128523,-58.36273489999999,Puerto Madero,3,2,2,100,28600000,286000
-34.6156962296,-58.3628199656,Puerto Madero,2,1,1,57,20800000,364912
-34.6209422,-58.4176377,San Cristobal,4,3,2,78,16835000,215833
-34.5797533,-58.483541,Villa Urquiza,3,2,1,70,24830000,354714
-34.570884,-58.4886936,Villa Urquiza,2,1,1,55,11375000,206818
-34.578981899999995,-58.4909683,Villa Urquiza,3,2,1,58,15730000,271206
-34.5788297,-58.486380700000005,Villa Urquiza,2,1,1,31,5850000,188709
-34.636965000000004,-58.445747,Parque Chacabuco,3,2,1,74,16185000,218716
-34.631237,-58.409751899999996,Parque Patricios,2,1,2,70,10205000,145785
-34.6182966956,-58.47415481189999,Villa Santa Rita,1,0,1,28,4485000,160178
-34.596798,-58.497792000000004,Villa del Parque,1,0,2,28,5525000,197321
-34.6344961,-58.363133700000006,Boca,2,1,1,32,6370000,199062
-34.636936299999995,-58.357874800000005,Boca,1,0,1,27,4842500,179351
-34.633210999999996,-58.415538,Boedo,2,1,1,44,5785000,131477
-34.552878799999995,-58.45288299999999,Nuñez,1,0,1,46,9750000,211956
-34.540126,-58.47314420000001,Nuñez,2,1,2,46,14820000,322173
-34.542750299999994,-58.46014520000001,Nuñez,2,1,1,43,13650000,317441
-34.595757,-58.381265,Retiro,2,1,2,34,7800000,229411
-34.6005311917,-58.4199407993,Almagro,2,1,1,32,5330000,166562
-34.6134133,-58.4157078,Almagro,2,1,2,26,4712500,181250
-34.607209999999995,-58.370740000000005,Almagro,2,1,1,45,6890000,153111
-34.604983399999995,-58.4296377,Almagro,1,0,1,29,7410000,255517
-34.60218,-58.4224,Almagro,2,1,1,41,6305000,153780
-34.563694,-58.474525,Coghlan,2,1,1,39,7767500,199166
-34.638683,-58.528026000000004,Liniers,2,1,1,28,3575000,127678
-34.5770831599,-58.4341254605,Palermo,2,1,1,44,11050000,251136
-34.5853865,-58.42306510000001,Palermo,2,1,1,34,8775000,258088
-34.5820469,-58.4112942,Palermo,2,1,2,74,23725000,320608
-34.597653,-58.416064600000006,Palermo,2,1,1,37,7410000,200270
-34.5820469,-58.4112942,Palermo,3,1,2,73,21450000,293835
-34.583723,-58.439604,Palermo,2,1,1,64,13325000,208203
-34.5782697906,-58.441417604099996,Palermo,2,1,2,49,14698385,299967
-34.5829445,-58.4342799,Palermo,1,0,1,40,9750000,243750
-34.586844899999996,-58.4237284,Palermo,1,0,1,37,10270000,277567
-34.577981,-58.436129,Palermo,1,0,1,23,6175000,268478
-34.5851641,-58.42100920000001,Palermo,1,0,1,21,4485000,213571
-34.578711469699996,-58.429733901599995,Palermo,4,1,1,62,15600000,251612
-34.626613,-58.3741024,Barracas,2,1,1,45,7475000,166111
-34.6319931581,-58.3758789762,Barracas,2,1,1,37,6500000,175675
-34.569469700000006,-58.4455669,Belgrano,2,1,1,40,7735000,193375
-34.5592297,-58.458812,Belgrano,2,1,1,36,8125000,225694
-34.569469700000006,-58.4455669,Belgrano,2,1,1,40,9165000,229125
-34.5607782,-58.466099,Belgrano,2,1,2,43,11700000,272093
-34.5628094,-58.4767578,Congreso,2,1,1,71,10725000,151056
-34.5995174,-58.4681843,Paternal,2,1,1,33,4153500,125863
-34.5945679,-58.3849465,Recoleta,1,0,1,29,7800000,268965
-34.59208110032487,-58.39540096725273,Recoleta,2,1,1,32,7475000,233593
-34.586605,-58.400172999999995,Recoleta,2,1,1,68,10725000,157720
-34.586528,-58.401029,Recoleta,2,1,1,45,8125000,180555
-34.607575399999995,-58.40349200000001,Balvanera,2,1,1,46,5720000,124347
-34.599419,-58.406130000000005,Balvanera,2,1,1,29,5070000,174827
-34.61096,-58.402170999999996,Balvanera,2,1,1,39,5843500,149833
-34.601716100000004,-58.4059498,Balvanera,2,1,1,39,7150000,183333
-34.628735,-58.429993,Caballito,2,1,1,50,8710000,174200
-34.618984000000005,-58.442006000000006,Caballito,1,0,1,27,4342000,160814
-34.591938,-58.447326000000004,Chacarita,1,0,1,33,7475000,226515
-34.591938,-58.447326000000004,Chacarita,1,0,1,33,6175000,187121
-34.591247431599996,-58.4472819037,Chacarita,2,1,1,40,7800000,195000
-34.6477882,-58.5003913,Mataderos,2,1,2,35,5200000,148571
-34.6477882,-58.5003913,Mataderos,2,1,2,36,7475000,207638
-34.6477882,-58.5003913,Mataderos,2,1,2,30,6175000,205833
-34.6582819,-58.5108537,Mataderos,2,1,1,40,7475000,186875
-34.620118,-58.38815400000001,Monserrat,1,0,1,37,9425000,254729
-34.614056299999994,-58.380292299999994,Monserrat,2,1,1,36,4420000,122777
-34.6138576,-58.3789506,San Telmo,1,0,1,30,4875000,162500
-34.599076044899995,-58.502257708,Agronomía,1,0,1,31,5330000,171935
-34.5816942,-58.4498204,Colegiales,2,1,2,52,13650000,262500
-34.6026461,-58.3851535,Tribunales,2,1,1,43,6435000,149651
-34.638061,-58.5039934,Villa Luro,1,0,1,30,4420000,147333
-34.5947294,-58.4049078,Barrio Norte,2,1,1,44,8125000,184659
-34.59271192112234,-58.40273944395954,Barrio Norte,2,1,1,32,7475000,233593
-34.595621,-58.408867,Barrio Norte,2,1,1,40,7475000,186875
-34.593816100000005,-58.4103738,Barrio Norte,2,1,1,40,8125000,203125
-34.5851641,-58.42100920000001,Barrio Norte,1,0,1,21,4485000,213571
-34.5702218,-58.434041099999995,Las Cañitas,2,1,1,43,11635000,270581
-34.5717049,-58.43215,Las Cañitas,2,1,1,35,8125000,232142
-34.6053229,-58.386503399999995,San Nicolás,2,1,1,46,7150000,155434
-34.602484999999994,-58.377343999999994,San Nicolás,2,1,1,60,9230000,153833
-34.601524,-58.389444999999995,San Nicolás,2,1,1,45,7085000,157444
-34.6002599,-58.379688699999996,San Nicolás,2,1,1,43,6435000,149651
-34.602484999999994,-58.377343999999994,San Nicolás,2,1,1,60,9945000,165750
-34.600156,-58.376837,San Nicolás,2,1,2,59,9100000,154237
-34.5913357538,-58.447217530699994,Villa Crespo,2,1,1,40,7800000,195000
-34.59431729999999,-58.441606400000005,Villa Crespo,2,1,1,38,7670000,201842
-34.593464000000004,-58.4421333,Villa Crespo,1,0,1,35,6175000,176428
-34.59693,-58.429587,Villa Crespo,2,1,1,46,9425000,204891
-34.6768180612,-58.4758261367,Villa Lugano,2,1,1,37,4550000,122972
-34.624648,-58.3822755,Constitución,2,1,1,41,4550000,110975
-34.619824,-58.403192000000004,San Cristobal,2,1,1,44,6500000,147727
-34.565503,-58.492911,Villa Urquiza,1,0,1,30,6175000,205833
-34.584209,-58.473911,Villa Urquiza,2,1,1,35,4485000,128142
-34.6138375,-58.4811183,Villa Santa Rita,2,1,1,60,10075000,167916
-34.604133000000004,-58.495059999999995,Villa del Parque,2,1,1,41,7475000,182317
-34.604040000000005,-58.43808000000001,Parque Centenario,2,1,1,37,7410000,200270
-34.6091881,-58.44311329999999,Parque Centenario,2,1,1,37,5525000,149324
-34.584324,-58.501064,Villa Pueyrredón,2,1,1,54,9750000,180555
-34.6021644,-58.37502979999999,Centro / Microcentro,2,1,1,43,6435000,149651
-34.636562,-58.368247100000005,Boca,3,2,1,46,5720000,124347
-34.633615999999996,-58.423511,Boedo,3,2,1,43,4550000,105813
-34.629971600000005,-58.45215,Flores,3,2,1,52,9165000,176250
-34.5397455372,-58.4701444752,Nuñez,3,2,2,98,20800000,212244
-34.5517014,-58.455405500000005,Nuñez,3,2,2,55,12870000,234000
-34.615481,-58.410578,Almagro,3,2,1,57,11050000,193859
-34.606895,-58.41720600000001,Almagro,3,2,1,48,10725000,223437
-34.6069151173,-58.4292017963,Almagro,3,2,2,67,8255000,123208
-34.612336799999994,-58.4151741,Almagro,3,2,2,66,11375000,172348
-34.6027119561,-58.424928422200004,Almagro,3,2,1,66,9035000,136893
-34.598929999999996,-58.41341,Almagro,3,2,1,55,9750000,177272
-34.5677878,-58.475779,Coghlan,3,2,1,54,11700000,216666
-34.592503799999996,-58.4362915,Palermo,3,2,1,73,20085000,275136
-34.578764471,-58.428446441300004,Palermo,3,2,1,75,14170000,188933
-34.5891874094,-58.4068814808,Palermo,3,2,2,77,15275000,198376
-34.58535404,-58.415314346,Palermo,3,2,1,57,12025000,210964
-34.5785783158,-58.4282759066,Palermo,3,2,1,75,14170000,188933
-34.580901474499996,-58.4138247238,Palermo,3,2,1,65,18200000,280000
-34.578827000000004,-58.43594399999999,Palermo,3,2,2,62,18200000,293548
-34.584621000000006,-58.422035,Palermo,3,2,2,71,11570000,162957
-34.5885969931,-58.421648433,Palermo,3,2,1,59,11310000,191694
-34.578827000000004,-58.43594399999999,Palermo,3,2,2,62,19500000,314516
-34.5873659,-58.41196310000001,Palermo,3,2,2,55,12805000,232818
-34.573864,-58.440661,Belgrano,3,2,2,74,19500000,263513
-34.559096999999994,-58.450633999999994,Belgrano,3,2,1,56,10335000,184553
-34.567992,-58.455420999999994,Belgrano,3,2,1,70,18785000,268357
-34.553022799999994,-58.43910579999999,Belgrano,3,2,2,120,59150000,492916
-34.563694899999994,-58.458194400000004,Belgrano,3,2,1,53,12155000,229339
-34.563164,-58.45091,Belgrano,3,2,2,112,28275000,252455
-34.56304306194158,-58.452525346078794,Belgrano,3,2,2,64,24310000,379843
-34.565115500000005,-58.4496868,Belgrano,3,2,1,58,11700000,201724
-34.628319,-58.479828000000005,Floresta,3,2,1,70,8183500,116907
-34.624555,-58.48155799999999,Floresta,3,2,1,46,5720000,124347
-34.583681,-58.40247900000001,Recoleta,3,2,1,83,13975000,168373
-34.596022,-58.395711,Recoleta,3,2,2,44,9620000,218636
-34.544171,-58.4788756,Saavedra,3,2,2,56,14885000,265803
-34.555176,-58.486489299999995,Saavedra,3,2,1,57,9425000,165350
-34.6114348,-58.407808100000004,Balvanera,3,2,1,60,6305000,105083
-34.601227,-58.402857999999995,Balvanera,4,2,1,113,14950000,132300
